Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,-100.230000,-95.080000,90.000000,bottom
C2,100nF,C_0402_1005Metric,-98.390000,-109.400000,-90.000000,bottom
C3,100nF,C_0402_1005Metric,-97.537500,-96.937500,90.000000,bottom
C4,10uF,C_0402_1005Metric,-90.787500,-55.371250,-90.000000,bottom
C5,1uF,C_0402_1005Metric,-93.897500,-99.087500,180.000000,bottom
C6,100nF,C_0402_1005Metric,-96.537500,-96.937500,90.000000,bottom
C7,100nF,C_0402_1005Metric,-93.905000,-100.116250,180.000000,bottom
C8,100nF,C_0402_1005Metric,-111.737500,-89.867500,90.000000,bottom
C9,100nF,C_0402_1005Metric,-99.210000,-95.060000,90.000000,bottom
C10,100nF,C_0402_1005Metric,-92.680000,-103.810000,180.000000,bottom
C11,1uF,C_0402_1005Metric,-97.667500,-56.311250,90.000000,bottom
C12,100nF,C_0402_1005Metric,-106.900000,-104.390000,0.000000,bottom
C13,100nF,C_0402_1005Metric,-105.177500,-98.407500,90.000000,bottom
C14,100nF,C_0402_1005Metric,-99.400000,-109.480000,-90.000000,bottom
C15,1uF,C_0402_1005Metric,-91.807500,-55.371250,90.000000,bottom
C16,22pF,C_0402_1005Metric,-105.340000,-112.630000,-90.000000,bottom
C17,22pF,C_0402_1005Metric,-99.696250,-112.068750,90.000000,bottom
D1,1N4148W,D_SOD-123,-27.017500,-48.727500,90.000000,bottom
D2,1N4148W,D_SOD-123,-31.050000,-66.710000,90.000000,bottom
D3,1N4148W,D_SOD-123,-37.336250,-84.446250,180.000000,bottom
D4,1N4148W,D_SOD-123,-50.830000,-48.727500,90.000000,bottom
D5,1N4148W,D_SOD-123,-55.592500,-71.746250,90.000000,bottom
D6,1N4148W,D_SOD-123,-65.117500,-78.890000,-90.000000,bottom
D7,1N4148W,D_SOD-123,-69.880000,-48.727500,90.000000,bottom
D8,1N4148W,D_SOD-123,-74.642500,-68.571250,90.000000,bottom
D9,1N4148W,D_SOD-123,-84.167500,-78.890000,-90.000000,bottom
D10,1N4148W,D_SOD-123,-50.036250,-105.877500,90.000000,bottom
D11,1N4148W,D_SOD-123,-88.930000,-48.727500,90.000000,bottom
D12,1N4148W,D_SOD-123,-93.692500,-68.571250,90.000000,bottom
D13,1N4148W,D_SOD-123,-105.257500,-78.657500,-90.000000,bottom
D14,1N4148W,D_SOD-123,-73.848750,-105.877500,90.000000,bottom
D15,1N4148W,D_SOD-123,-107.980000,-48.790000,90.000000,bottom
D16,1N4148W,D_SOD-123,-111.710000,-68.570000,90.000000,bottom
D17,1N4148W,D_SOD-123,-121.473750,-79.683750,-90.000000,bottom
D18,1N4148W,D_SOD-123,-92.090000,-92.820000,-90.000000,bottom
D19,1N4148W,D_SOD-123,-127.030000,-48.727500,90.000000,bottom
D20,1N4148W,D_SOD-123,-131.792500,-68.571250,90.000000,bottom
D21,1N4148W,D_SOD-123,-141.317500,-87.621250,90.000000,bottom
D22,1N4148W,D_SOD-123,-127.030000,-95.496250,-90.000000,bottom
D23,1N4148W,D_SOD-123,-146.080000,-48.790000,90.000000,bottom
D24,1N4148W,D_SOD-123,-150.842500,-68.571250,90.000000,bottom
D25,1N4148W,D_SOD-123,-159.573750,-87.621250,90.000000,bottom
D26,1N4148W,D_SOD-123,-150.842500,-95.496250,-90.000000,bottom
D27,1N4148W,D_SOD-123,-165.130000,-48.727500,90.000000,bottom
D28,1N4148W,D_SOD-123,-169.892500,-68.571250,90.000000,bottom
D29,1N4148W,D_SOD-123,-179.417500,-87.558750,90.000000,bottom
D30,1N4148W,D_SOD-123,-174.655000,-99.590000,-90.000000,bottom
D31,1N4148W,D_SOD-123,-184.180000,-48.790000,90.000000,bottom
D32,1N4148W,D_SOD-123,-188.942500,-68.571250,90.000000,bottom
D33,1N4148W,D_SOD-123,-197.673750,-87.621250,90.000000,bottom
D34,1N4148W,D_SOD-123,-211.961250,-105.815000,90.000000,bottom
D35,1N4148W,D_SOD-123,-203.230000,-48.727500,90.000000,bottom
D36,1N4148W,D_SOD-123,-207.992500,-68.508750,90.000000,bottom
D37,1N4148W,D_SOD-123,-216.723750,-87.621250,90.000000,bottom
D38,1N4148W,D_SOD-123,-235.773750,-105.877500,90.000000,bottom
D39,1N4148W,D_SOD-123,-222.280000,-48.790000,90.000000,bottom
D40,1N4148W,D_SOD-123,-227.042500,-68.571250,90.000000,bottom
D41,1N4148W,D_SOD-123,-235.773750,-87.621250,90.000000,bottom
D42,1N4148W,D_SOD-123,-259.025000,-105.750000,90.000000,bottom
D43,1N4148W,D_SOD-123,-241.330000,-48.727500,90.000000,bottom
D44,1N4148W,D_SOD-123,-245.298750,-68.508750,90.000000,bottom
D47,1N4148W,D_SOD-123,-260.380000,-48.665000,90.000000,bottom
D48,1N4148W,D_SOD-123,-277.048750,-68.571250,90.000000,bottom
D49,1N4148W,D_SOD-123,-271.492500,-87.621250,90.000000,bottom
D50,1N4148W,D_SOD-123,-283.398750,-48.790000,90.000000,bottom
D52,1N4148W,D_SOD-123,-288.161250,-87.621250,90.000000,bottom
F1,500mA,Fuse_1206_3216Metric,-103.353750,-56.040000,180.000000,bottom
R1,27R,R_0603_1608Metric,-116.420000,-72.945000,-90.000000,bottom
R2,27R,R_0603_1608Metric,-114.880000,-72.885000,-90.000000,bottom
R3,1k,R_0402_1005Metric,-74.840000,-98.970000,0.000000,bottom
R4,1k,R_0402_1005Metric,-123.140000,-89.560000,180.000000,bottom
R5,1k,R_0402_1005Metric,-100.627500,-109.227500,90.000000,bottom
SW7,SW_Push,PinSocket_1x02_P2.54mm_Vertical,-123.630000,-84.760000,180.000000,bottom
U1,RP2040,RP2040-QFN-56,-100.255000,-102.497500,180.000000,bottom
U2,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,-117.287500,-92.282500,180.000000,bottom
U3,XC6206PxxxMR-Regulator_Linear,SOT-23,-94.410000,-55.817500,0.000000,bottom
Y1,12MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,-102.337500,-112.227500,0.000000,bottom
